,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
274,< 0,30,existing credits paid back duly till now,repairs,11998,< 100 DM,<1 year,1,male;divorced/separated,bank,1,unknown / no property,34,none,own,1,unskilled;resident,1,Yes,Yes,__label__2,__label__2 < 0 30 existing credits paid back duly till now repairs 11998 < 100 DM <1 year 1 male;divorced/separated bank 1 unknown / no property 34 none own 1 unskilled;resident 1 Yes Yes
275,no checking account,9,existing credits paid back duly till now,radio/television,2697,< 100 DM,1-4 years,1,male;single,bank,2,real estate,32,none,own,1,skilled employee;official,2,No,Yes,__label__1,__label__1 no checking account 9 existing credits paid back duly till now radio/television 2697 < 100 DM 1-4 years 1 male;single bank 2 real estate 32 none own 1 skilled employee;official 2 No Yes
276,no checking account,18,critical account/other credits existing (not at this bank),radio/television,2404,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,2,car or other,26,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 18 critical account/other credits existing (not at this bank) radio/television 2404 < 100 DM 1-4 years 2 female;divorced/separated/married bank 2 car or other 26 none own 2 skilled employee;official 1 No Yes
277,< 0,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/no savings account,>=7 years,2,male;divorced/separated,bank,4,building society savings agreement/life insurance,49,none,own,1,unskilled;resident,1,Yes,Yes,__label__1,__label__1 < 0 12 existing credits paid back duly till now furniture/equipment 1262 unknown/no savings account >=7 years 2 male;divorced/separated bank 4 building society savings agreement/life insurance 49 none own 1 unskilled;resident 1 Yes Yes
278,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,< 100 DM,<1 year,1,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,32,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 6 existing credits paid back duly till now furniture/equipment 4611 < 100 DM <1 year 1 female;divorced/separated/married bank 4 building society savings agreement/life insurance 32 none own 1 skilled employee;official 1 No Yes
279,no checking account,24,existing credits paid back duly till now,radio/television,1901,100-500 DM,1-4 years,4,male;single,bank,4,car or other,29,none,rent,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now radio/television 1901 100-500 DM 1-4 years 4 male;single bank 4 car or other 29 none rent 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
280,no checking account,15,critical account/other credits existing (not at this bank),car(used),3368,>=1000 DM,>=7 years,3,male;single,bank,4,unknown / no property,23,none,rent,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 15 critical account/other credits existing (not at this bank) car(used) 3368 >=1000 DM >=7 years 3 male;single bank 4 unknown / no property 23 none rent 2 skilled employee;official 1 Yes Yes
281,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,< 100 DM,1-4 years,4,male;single,bank,2,real estate,50,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now furniture/equipment 1574 < 100 DM 1-4 years 4 male;single bank 2 real estate 50 none own 1 skilled employee;official 1 No Yes
282,>=200 DM,18,all credits at this bank paid back duly,radio/television,1445,unknown/no savings account,4-7 years,4,male;single,bank,4,car or other,49,bank,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 >=200 DM 18 all credits at this bank paid back duly radio/television 1445 unknown/no savings account 4-7 years 4 male;single bank 4 car or other 49 bank own 1 unskilled;resident 1 No Yes
283,no checking account,15,critical account/other credits existing (not at this bank),furniture/equipment,1520,unknown/no savings account,>=7 years,4,male;single,bank,4,building society savings agreement/life insurance,63,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 15 critical account/other credits existing (not at this bank) furniture/equipment 1520 unknown/no savings account >=7 years 4 male;single bank 4 building society savings agreement/life insurance 63 none own 1 skilled employee;official 1 No Yes
284,0-200 DM,24,critical account/other credits existing (not at this bank),car(new),3878,100-500 DM,<1 year,4,male;divorced/separated,bank,2,car or other,37,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 24 critical account/other credits existing (not at this bank) car(new) 3878 100-500 DM <1 year 4 male;divorced/separated bank 2 car or other 37 none own 1 skilled employee;official 1 Yes Yes
285,< 0,47,existing credits paid back duly till now,car(new),10722,< 100 DM,<1 year,1,female;divorced/separated/married,bank,1,real estate,35,none,own,1,unskilled;resident,1,Yes,Yes,__label__1,__label__1 < 0 47 existing credits paid back duly till now car(new) 10722 < 100 DM <1 year 1 female;divorced/separated/married bank 1 real estate 35 none own 1 unskilled;resident 1 Yes Yes
286,< 0,48,existing credits paid back duly till now,car(used),4788,< 100 DM,4-7 years,4,male;single,bank,3,building society savings agreement/life insurance,26,none,own,1,skilled employee;official,2,No,Yes,__label__1,__label__1 < 0 48 existing credits paid back duly till now car(used) 4788 < 100 DM 4-7 years 4 male;single bank 3 building society savings agreement/life insurance 26 none own 1 skilled employee;official 2 No Yes
287,0-200 DM,48,delay in paying off in the past,others,7582,100-500 DM,unemployed,2,male;single,bank,4,unknown / no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 48 delay in paying off in the past others 7582 100-500 DM unemployed 2 male;single bank 4 unknown / no property 31 none for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
288,0-200 DM,12,existing credits paid back duly till now,radio/television,1092,< 100 DM,1-4 years,4,female;divorced/separated/married,none,4,real estate,49,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now radio/television 1092 < 100 DM 1-4 years 4 female;divorced/separated/married none 4 real estate 49 none own 2 skilled employee;official 1 Yes Yes
289,< 0,24,delay in paying off in the past,radio/television,1024,< 100 DM,<1 year,4,male;married/widowed,bank,4,real estate,48,stores,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 24 delay in paying off in the past radio/television 1024 < 100 DM <1 year 4 male;married/widowed bank 4 real estate 48 stores own 1 skilled employee;official 1 No Yes
290,no checking account,12,existing credits paid back duly till now,business,1076,< 100 DM,1-4 years,2,male;married/widowed,bank,2,real estate,26,none,own,1,skilled employee;official,1,Yes,No,__label__1,__label__1 no checking account 12 existing credits paid back duly till now business 1076 < 100 DM 1-4 years 2 male;married/widowed bank 2 real estate 26 none own 1 skilled employee;official 1 Yes No
291,0-200 DM,36,existing credits paid back duly till now,car(used),9398,< 100 DM,<1 year,1,male;married/widowed,bank,4,car or other,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 0-200 DM 36 existing credits paid back duly till now car(used) 9398 < 100 DM <1 year 1 male;married/widowed bank 4 car or other 28 none rent 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
292,< 0,24,critical account/other credits existing (not at this bank),car(used),6419,< 100 DM,>=7 years,2,female;divorced/separated/married,bank,4,unknown / no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,Yes,Yes,__label__1,__label__1 < 0 24 critical account/other credits existing (not at this bank) car(used) 6419 < 100 DM >=7 years 2 female;divorced/separated/married bank 4 unknown / no property 44 none for free 2 management/self-employed/highly qualified employee/officer 2 Yes Yes
293,>=200 DM,42,critical account/other credits existing (not at this bank),car(used),4796,< 100 DM,>=7 years,4,male;single,bank,4,unknown / no property,56,none,for free,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 42 critical account/other credits existing (not at this bank) car(used) 4796 < 100 DM >=7 years 4 male;single bank 4 unknown / no property 56 none for free 1 skilled employee;official 1 No Yes
294,no checking account,48,critical account/other credits existing (not at this bank),business,7629,unknown/no savings account,>=7 years,4,male;divorced/separated,bank,2,car or other,46,bank,own,2,management/self-employed/highly qualified employee/officer,2,No,Yes,__label__1,__label__1 no checking account 48 critical account/other credits existing (not at this bank) business 7629 unknown/no savings account >=7 years 4 male;divorced/separated bank 2 car or other 46 bank own 2 management/self-employed/highly qualified employee/officer 2 No Yes
295,0-200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,< 100 DM,<1 year,1,female;divorced/separated/married,bank,2,car or other,26,none,own,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 0-200 DM 48 existing credits paid back duly till now furniture/equipment 9960 < 100 DM <1 year 1 female;divorced/separated/married bank 2 car or other 26 none own 1 skilled employee;official 1 Yes Yes
296,no checking account,12,existing credits paid back duly till now,car(used),4675,unknown/no savings account,<1 year,1,female;divorced/separated/married,bank,4,car or other,20,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now car(used) 4675 unknown/no savings account <1 year 1 female;divorced/separated/married bank 4 car or other 20 none rent 1 skilled employee;official 1 No Yes
297,no checking account,10,existing credits paid back duly till now,car(new),1287,unknown/no savings account,>=7 years,4,male;single,stores,2,building society savings agreement/life insurance,45,none,own,1,unskilled;resident,1,No,No,__label__1,__label__1 no checking account 10 existing credits paid back duly till now car(new) 1287 unknown/no savings account >=7 years 4 male;single stores 2 building society savings agreement/life insurance 45 none own 1 unskilled;resident 1 No No
298,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,< 100 DM,1-4 years,3,male;single,bank,4,real estate,43,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 18 existing credits paid back duly till now furniture/equipment 2515 < 100 DM 1-4 years 3 male;single bank 4 real estate 43 none own 1 skilled employee;official 1 Yes Yes
299,0-200 DM,21,critical account/other credits existing (not at this bank),furniture/equipment,2745,>=1000 DM,4-7 years,3,male;single,bank,2,car or other,32,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 21 critical account/other credits existing (not at this bank) furniture/equipment 2745 >=1000 DM 4-7 years 3 male;single bank 2 car or other 32 none own 2 skilled employee;official 1 Yes Yes
300,no checking account,6,existing credits paid back duly till now,car(new),672,< 100 DM,unemployed,1,female;divorced/separated/married,bank,4,real estate,54,none,own,1,unemployed/unskilled;non-resident,1,Yes,Yes,__label__1,__label__1 no checking account 6 existing credits paid back duly till now car(new) 672 < 100 DM unemployed 1 female;divorced/separated/married bank 4 real estate 54 none own 1 unemployed/unskilled;non-resident 1 Yes Yes
301,0-200 DM,36,no credits taken/all credits paid back duly,radio/television,3804,< 100 DM,1-4 years,4,female;divorced/separated/married,bank,1,car or other,42,none,own,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 0-200 DM 36 no credits taken/all credits paid back duly radio/television 3804 < 100 DM 1-4 years 4 female;divorced/separated/married bank 1 car or other 42 none own 1 skilled employee;official 1 Yes Yes
302,>=200 DM,24,critical account/other credits existing (not at this bank),car(new),1344,unknown/no savings account,4-7 years,4,male;single,bank,2,real estate,37,bank,own,2,unskilled;resident,2,No,Yes,__label__2,__label__2 >=200 DM 24 critical account/other credits existing (not at this bank) car(new) 1344 unknown/no savings account 4-7 years 4 male;single bank 2 real estate 37 bank own 2 unskilled;resident 2 No Yes
303,< 0,10,critical account/other credits existing (not at this bank),car(new),1038,< 100 DM,4-7 years,4,male;single,stores,3,building society savings agreement/life insurance,49,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 < 0 10 critical account/other credits existing (not at this bank) car(new) 1038 < 100 DM 4-7 years 4 male;single stores 3 building society savings agreement/life insurance 49 none own 2 skilled employee;official 1 Yes Yes
304,no checking account,48,critical account/other credits existing (not at this bank),car(new),10127,500-1000 DM,1-4 years,2,male;single,bank,2,unknown / no property,44,bank,for free,1,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 48 critical account/other credits existing (not at this bank) car(new) 10127 500-1000 DM 1-4 years 2 male;single bank 2 unknown / no property 44 bank for free 1 skilled employee;official 1 No Yes
305,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,>=1000 DM,1-4 years,4,male;divorced/separated,bank,2,real estate,33,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 6 existing credits paid back duly till now furniture/equipment 1543 >=1000 DM 1-4 years 4 male;divorced/separated bank 2 real estate 33 none own 1 skilled employee;official 1 No Yes
306,no checking account,30,existing credits paid back duly till now,car(used),4811,unknown/no savings account,4-7 years,2,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 30 existing credits paid back duly till now car(used) 4811 unknown/no savings account 4-7 years 2 female;divorced/separated/married bank 4 building society savings agreement/life insurance 24 stores rent 1 unskilled;resident 1 No Yes
307,< 0,12,existing credits paid back duly till now,radio/television,727,100-500 DM,<1 year,4,male;married/widowed,bank,3,unknown / no property,33,none,own,1,unskilled;resident,1,Yes,Yes,__label__2,__label__2 < 0 12 existing credits paid back duly till now radio/television 727 100-500 DM <1 year 4 male;married/widowed bank 3 unknown / no property 33 none own 1 unskilled;resident 1 Yes Yes
308,0-200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,< 100 DM,1-4 years,3,female;divorced/separated/married,bank,4,real estate,24,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 8 existing credits paid back duly till now furniture/equipment 1237 < 100 DM 1-4 years 3 female;divorced/separated/married bank 4 real estate 24 none own 1 skilled employee;official 1 No Yes
309,0-200 DM,9,existing credits paid back duly till now,car(new),276,< 100 DM,1-4 years,4,male;married/widowed,bank,4,real estate,22,none,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 9 existing credits paid back duly till now car(new) 276 < 100 DM 1-4 years 4 male;married/widowed bank 4 real estate 22 none rent 1 unskilled;resident 1 No Yes
310,0-200 DM,48,existing credits paid back duly till now,others,5381,unknown/no savings account,unemployed,3,male;single,bank,4,unknown / no property,40,bank,for free,1,unemployed/unskilled;non-resident,1,Yes,Yes,__label__1,__label__1 0-200 DM 48 existing credits paid back duly till now others 5381 unknown/no savings account unemployed 3 male;single bank 4 unknown / no property 40 bank for free 1 unemployed/unskilled;non-resident 1 Yes Yes
311,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100-500 DM,1-4 years,4,male;single,bank,1,car or other,25,stores,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now furniture/equipment 5511 100-500 DM 1-4 years 4 male;single bank 1 car or other 25 stores own 1 skilled employee;official 1 No Yes
312,>=200 DM,24,existing credits paid back duly till now,furniture/equipment,3749,< 100 DM,<1 year,2,female;divorced/separated/married,bank,4,car or other,26,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 24 existing credits paid back duly till now furniture/equipment 3749 < 100 DM <1 year 2 female;divorced/separated/married bank 4 car or other 26 none own 1 skilled employee;official 1 No Yes
313,0-200 DM,12,existing credits paid back duly till now,car(new),685,< 100 DM,4-7 years,2,male;married/widowed,bank,3,car or other,25,bank,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 12 existing credits paid back duly till now car(new) 685 < 100 DM 4-7 years 2 male;married/widowed bank 3 car or other 25 bank own 1 unskilled;resident 1 No Yes
314,>=200 DM,4,existing credits paid back duly till now,car(new),1494,unknown/no savings account,<1 year,1,male;single,bank,2,real estate,29,none,own,1,unskilled;resident,2,No,No,__label__1,__label__1 >=200 DM 4 existing credits paid back duly till now car(new) 1494 unknown/no savings account <1 year 1 male;single bank 2 real estate 29 none own 1 unskilled;resident 2 No No
315,< 0,36,all credits at this bank paid back duly,furniture/equipment,2746,< 100 DM,>=7 years,4,male;single,bank,4,car or other,31,bank,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 36 all credits at this bank paid back duly furniture/equipment 2746 < 100 DM >=7 years 4 male;single bank 4 car or other 31 bank own 1 skilled employee;official 1 No Yes
316,< 0,12,existing credits paid back duly till now,furniture/equipment,708,< 100 DM,1-4 years,2,male;single,none,3,building society savings agreement/life insurance,38,none,own,1,unskilled;resident,2,No,Yes,__label__1,__label__1 < 0 12 existing credits paid back duly till now furniture/equipment 708 < 100 DM 1-4 years 2 male;single none 3 building society savings agreement/life insurance 38 none own 1 unskilled;resident 2 No Yes
317,0-200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/no savings account,1-4 years,1,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,48,none,own,1,unskilled;resident,1,Yes,Yes,__label__1,__label__1 0-200 DM 24 existing credits paid back duly till now furniture/equipment 4351 unknown/no savings account 1-4 years 1 female;divorced/separated/married bank 4 building society savings agreement/life insurance 48 none own 1 unskilled;resident 1 Yes Yes
318,no checking account,12,critical account/other credits existing (not at this bank),education,701,< 100 DM,1-4 years,4,male;single,bank,2,car or other,32,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) education 701 < 100 DM 1-4 years 4 male;single bank 2 car or other 32 none own 2 skilled employee;official 1 No Yes
319,< 0,15,delay in paying off in the past,furniture/equipment,3643,< 100 DM,>=7 years,1,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,27,none,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 15 delay in paying off in the past furniture/equipment 3643 < 100 DM >=7 years 1 female;divorced/separated/married bank 4 building society savings agreement/life insurance 27 none own 2 unskilled;resident 1 No Yes
320,0-200 DM,30,critical account/other credits existing (not at this bank),car(new),4249,< 100 DM,unemployed,4,male;married/widowed,bank,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__2,__label__2 0-200 DM 30 critical account/other credits existing (not at this bank) car(new) 4249 < 100 DM unemployed 4 male;married/widowed bank 2 car or other 28 none own 2 management/self-employed/highly qualified employee/officer 1 No Yes
321,< 0,24,existing credits paid back duly till now,radio/television,1938,< 100 DM,<1 year,4,male;divorced/separated,bank,3,building society savings agreement/life insurance,32,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 24 existing credits paid back duly till now radio/television 1938 < 100 DM <1 year 4 male;divorced/separated bank 3 building society savings agreement/life insurance 32 none own 1 skilled employee;official 1 No Yes
322,< 0,24,existing credits paid back duly till now,car(used),2910,< 100 DM,4-7 years,2,male;single,bank,1,unknown / no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 < 0 24 existing credits paid back duly till now car(used) 2910 < 100 DM 4-7 years 2 male;single bank 1 unknown / no property 34 none for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
323,< 0,18,existing credits paid back duly till now,furniture/equipment,2659,>=1000 DM,1-4 years,4,male;single,bank,2,car or other,28,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 18 existing credits paid back duly till now furniture/equipment 2659 >=1000 DM 1-4 years 4 male;single bank 2 car or other 28 none own 1 skilled employee;official 1 No Yes
324,no checking account,18,critical account/other credits existing (not at this bank),car(new),1028,< 100 DM,1-4 years,4,female;divorced/separated/married,bank,3,real estate,36,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 18 critical account/other credits existing (not at this bank) car(new) 1028 < 100 DM 1-4 years 4 female;divorced/separated/married bank 3 real estate 36 none own 2 skilled employee;official 1 No Yes
325,< 0,8,critical account/other credits existing (not at this bank),car(new),3398,< 100 DM,4-7 years,1,male;single,bank,4,real estate,39,none,own,2,unskilled;resident,1,No,No,__label__1,__label__1 < 0 8 critical account/other credits existing (not at this bank) car(new) 3398 < 100 DM 4-7 years 1 male;single bank 4 real estate 39 none own 2 unskilled;resident 1 No No
326,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,5801,unknown/no savings account,>=7 years,2,male;single,bank,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) furniture/equipment 5801 unknown/no savings account >=7 years 2 male;single bank 4 building society savings agreement/life insurance 49 none rent 1 skilled employee;official 1 Yes Yes
327,no checking account,24,existing credits paid back duly till now,car(new),1525,>=1000 DM,4-7 years,4,female;divorced/separated/married,bank,3,car or other,34,none,own,1,skilled employee;official,2,Yes,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now car(new) 1525 >=1000 DM 4-7 years 4 female;divorced/separated/married bank 3 car or other 34 none own 1 skilled employee;official 2 Yes Yes
328,>=200 DM,36,existing credits paid back duly till now,radio/television,4473,< 100 DM,>=7 years,4,male;single,bank,2,car or other,31,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 36 existing credits paid back duly till now radio/television 4473 < 100 DM >=7 years 4 male;single bank 2 car or other 31 none own 1 skilled employee;official 1 No Yes
329,0-200 DM,6,existing credits paid back duly till now,radio/television,1068,< 100 DM,>=7 years,4,male;single,bank,4,car or other,28,none,own,1,skilled employee;official,2,No,Yes,__label__1,__label__1 0-200 DM 6 existing credits paid back duly till now radio/television 1068 < 100 DM >=7 years 4 male;single bank 4 car or other 28 none own 1 skilled employee;official 2 No Yes
330,< 0,24,critical account/other credits existing (not at this bank),car(used),6615,< 100 DM,unemployed,2,male;single,bank,4,unknown / no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 < 0 24 critical account/other credits existing (not at this bank) car(used) 6615 < 100 DM unemployed 2 male;single bank 4 unknown / no property 75 none for free 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
331,no checking account,18,critical account/other credits existing (not at this bank),education,1864,100-500 DM,1-4 years,4,female;divorced/separated/married,bank,2,real estate,30,none,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 18 critical account/other credits existing (not at this bank) education 1864 100-500 DM 1-4 years 4 female;divorced/separated/married bank 2 real estate 30 none own 2 skilled employee;official 1 No Yes
332,0-200 DM,60,existing credits paid back duly till now,car(new),7408,100-500 DM,<1 year,4,female;divorced/separated/married,bank,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__2,__label__2 0-200 DM 60 existing credits paid back duly till now car(new) 7408 100-500 DM <1 year 4 female;divorced/separated/married bank 2 building society savings agreement/life insurance 24 none own 1 management/self-employed/highly qualified employee/officer 1 No Yes
333,no checking account,48,critical account/other credits existing (not at this bank),car(used),11590,100-500 DM,1-4 years,2,female;divorced/separated/married,bank,4,car or other,24,bank,rent,2,unskilled;resident,1,No,Yes,__label__2,__label__2 no checking account 48 critical account/other credits existing (not at this bank) car(used) 11590 100-500 DM 1-4 years 2 female;divorced/separated/married bank 4 car or other 24 bank rent 2 unskilled;resident 1 No Yes
334,< 0,24,no credits taken/all credits paid back duly,furniture/equipment,4110,< 100 DM,>=7 years,3,male;single,bank,4,unknown / no property,23,bank,rent,2,skilled employee;official,2,No,Yes,__label__2,__label__2 < 0 24 no credits taken/all credits paid back duly furniture/equipment 4110 < 100 DM >=7 years 3 male;single bank 4 unknown / no property 23 bank rent 2 skilled employee;official 2 No Yes
335,< 0,6,critical account/other credits existing (not at this bank),furniture/equipment,3384,< 100 DM,1-4 years,1,male;divorced/separated,bank,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 < 0 6 critical account/other credits existing (not at this bank) furniture/equipment 3384 < 100 DM 1-4 years 1 male;divorced/separated bank 4 real estate 44 none rent 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
336,0-200 DM,13,existing credits paid back duly till now,radio/television,2101,< 100 DM,<1 year,2,female;divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 13 existing credits paid back duly till now radio/television 2101 < 100 DM <1 year 2 female;divorced/separated/married none 4 building society savings agreement/life insurance 23 none own 1 unskilled;resident 1 No Yes
337,< 0,15,existing credits paid back duly till now,domestic appliances,1275,unknown/no savings account,1-4 years,4,female;divorced/separated/married,bank,2,car or other,24,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 15 existing credits paid back duly till now domestic appliances 1275 unknown/no savings account 1-4 years 4 female;divorced/separated/married bank 2 car or other 24 none rent 1 skilled employee;official 1 No Yes
338,< 0,24,existing credits paid back duly till now,furniture/equipment,4169,< 100 DM,1-4 years,4,male;single,bank,4,building society savings agreement/life insurance,28,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 24 existing credits paid back duly till now furniture/equipment 4169 < 100 DM 1-4 years 4 male;single bank 4 building society savings agreement/life insurance 28 none own 1 skilled employee;official 1 No Yes
339,0-200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,< 100 DM,1-4 years,4,male;divorced/separated,bank,2,car or other,31,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 10 existing credits paid back duly till now furniture/equipment 1521 < 100 DM 1-4 years 4 male;divorced/separated bank 2 car or other 31 none own 1 unskilled;resident 1 No Yes
340,0-200 DM,24,critical account/other credits existing (not at this bank),education,5743,< 100 DM,<1 year,2,female;divorced/separated/married,bank,4,unknown / no property,24,none,for free,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 24 critical account/other credits existing (not at this bank) education 5743 < 100 DM <1 year 2 female;divorced/separated/married bank 4 unknown / no property 24 none for free 2 skilled employee;official 1 Yes Yes
341,< 0,21,existing credits paid back duly till now,furniture/equipment,3599,< 100 DM,4-7 years,1,female;divorced/separated/married,bank,4,car or other,26,none,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 21 existing credits paid back duly till now furniture/equipment 3599 < 100 DM 4-7 years 1 female;divorced/separated/married bank 4 car or other 26 none rent 1 unskilled;resident 1 No Yes
342,0-200 DM,18,existing credits paid back duly till now,radio/television,3213,500-1000 DM,<1 year,1,male;married/widowed,bank,3,real estate,25,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now radio/television 3213 500-1000 DM <1 year 1 male;married/widowed bank 3 real estate 25 none rent 1 skilled employee;official 1 No Yes
343,0-200 DM,18,existing credits paid back duly till now,business,4439,< 100 DM,>=7 years,1,male;single,stores,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now business 4439 < 100 DM >=7 years 1 male;single stores 1 real estate 33 bank own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
344,>=200 DM,10,existing credits paid back duly till now,car(new),3949,< 100 DM,<1 year,1,male;single,none,1,building society savings agreement/life insurance,37,none,own,1,unskilled;resident,2,No,Yes,__label__1,__label__1 >=200 DM 10 existing credits paid back duly till now car(new) 3949 < 100 DM <1 year 1 male;single none 1 building society savings agreement/life insurance 37 none own 1 unskilled;resident 2 No Yes
345,no checking account,15,critical account/other credits existing (not at this bank),radio/television,1459,< 100 DM,1-4 years,4,female;divorced/separated/married,bank,2,car or other,43,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 15 critical account/other credits existing (not at this bank) radio/television 1459 < 100 DM 1-4 years 4 female;divorced/separated/married bank 2 car or other 43 none own 1 unskilled;resident 1 No Yes
346,0-200 DM,13,critical account/other credits existing (not at this bank),radio/television,882,< 100 DM,<1 year,4,male;single,none,4,real estate,23,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 13 critical account/other credits existing (not at this bank) radio/television 882 < 100 DM <1 year 4 male;single none 4 real estate 23 none own 2 skilled employee;official 1 No Yes
347,0-200 DM,24,existing credits paid back duly till now,radio/television,3758,500-1000 DM,unemployed,1,female;divorced/separated/married,bank,4,unknown / no property,23,none,rent,1,unemployed/unskilled;non-resident,1,No,Yes,__label__1,__label__1 0-200 DM 24 existing credits paid back duly till now radio/television 3758 500-1000 DM unemployed 1 female;divorced/separated/married bank 4 unknown / no property 23 none rent 1 unemployed/unskilled;non-resident 1 No Yes
