,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
257,A11,A21,A31,A43,A54,A61,A73,A84,A91,A101,A111,A124,A133,A143,A153,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A21 A31 A43 A54 A61 A73 A84 A91 A101 A111 A124 A133 A143 A153 A161 A173 A181 A191 A201
258,A14,A22,A32,A41,A57,A62,A72,A81,A92,A101,A114,A123,A130,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A22 A32 A41 A57 A62 A72 A81 A92 A101 A114 A123 A130 A143 A152 A161 A173 A181 A192 A201
259,A14,A21,A34,A43,A51,A62,A71,A84,A92,A101,A114,A121,A139,A143,A152,A163,A172,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A43 A51 A62 A71 A84 A92 A101 A114 A121 A139 A143 A152 A163 A172 A181 A191 A201
260,A11,A21,A32,A42,A53,A61,A73,A82,A93,A101,A112,A121,A132,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A11 A21 A32 A42 A53 A61 A73 A82 A93 A101 A112 A121 A132 A143 A152 A161 A173 A181 A191 A201
261,A11,A24,A32,A43,A53,A61,A75,A84,A92,A101,A114,A123,A139,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A11 A24 A32 A43 A53 A61 A75 A84 A92 A101 A114 A123 A139 A143 A152 A161 A173 A181 A191 A201
262,A11,A23,A34,A40,A58,A61,A75,A82,A93,A101,A114,A124,A135,A143,A153,A163,A174,A181,A192,A201,__label__1,__label__1 A11 A23 A34 A40 A58 A61 A75 A82 A93 A101 A114 A124 A135 A143 A153 A163 A174 A181 A192 A201
263,A14,A21,A34,A46,A55,A61,A75,A82,A92,A101,A114,A124,A139,A141,A153,A163,A172,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A46 A55 A61 A75 A82 A92 A101 A114 A124 A139 A141 A153 A163 A172 A181 A191 A201
264,A14,A21,A34,A40,A51,A61,A75,A83,A93,A101,A114,A121,A134,A143,A152,A162,A172,A182,A191,A202,__label__1,__label__1 A14 A21 A34 A40 A51 A61 A75 A83 A93 A101 A114 A121 A134 A143 A152 A162 A172 A182 A191 A202
265,A12,A22,A32,A43,A50,A61,A75,A84,A93,A101,A113,A123,A136,A143,A152,A161,A173,A182,A191,A201,__label__2,__label__2 A12 A22 A32 A43 A50 A61 A75 A84 A93 A101 A113 A123 A136 A143 A152 A161 A173 A182 A191 A201
266,A14,A26,A34,A49,A58,A65,A75,A84,A93,A101,A114,A121,A135,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A14 A26 A34 A49 A58 A65 A75 A84 A93 A101 A114 A121 A135 A143 A152 A162 A173 A181 A191 A201
267,A14,A24,A32,A43,A53,A61,A72,A84,A92,A101,A113,A123,A136,A142,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A24 A32 A43 A53 A61 A72 A84 A92 A101 A113 A123 A136 A142 A152 A161 A173 A181 A192 A201
268,A11,A22,A32,A40,A59,A61,A75,A81,A91,A101,A114,A122,A137,A143,A152,A161,A174,A181,A192,A202,__label__2,__label__2 A11 A22 A32 A40 A59 A61 A75 A81 A91 A101 A114 A122 A137 A143 A152 A161 A174 A181 A192 A202
269,A14,A24,A32,A43,A51,A65,A75,A84,A93,A101,A112,A123,A131,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A14 A24 A32 A43 A51 A65 A75 A84 A93 A101 A112 A123 A131 A143 A152 A162 A173 A181 A191 A201
270,A14,A23,A32,A40,A55,A65,A74,A84,A93,A101,A113,A122,A134,A143,A152,A161,A173,A181,A191,A202,__label__1,__label__1 A14 A23 A32 A40 A55 A65 A74 A84 A93 A101 A113 A122 A134 A143 A152 A161 A173 A181 A191 A202
271,A14,A21,A34,A42,A52,A63,A74,A83,A92,A101,A114,A123,A136,A143,A151,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A21 A34 A42 A52 A63 A74 A83 A92 A101 A114 A123 A136 A143 A151 A161 A173 A181 A192 A201
272,A12,A27,A31,A40,A59,A65,A71,A84,A93,A102,A114,A124,A135,A143,A153,A161,A174,A181,A192,A201,__label__1,__label__1 A12 A27 A31 A40 A59 A65 A71 A84 A93 A102 A114 A124 A135 A143 A153 A161 A174 A181 A192 A201
273,A12,A27,A32,A43,A56,A61,A74,A84,A93,A101,A114,A121,A132,A143,A152,A162,A173,A181,A191,A201,__label__2,__label__2 A12 A27 A32 A43 A56 A61 A74 A84 A93 A101 A114 A121 A132 A143 A152 A162 A173 A181 A191 A201
274,A11,A25,A32,A45,A59,A61,A72,A81,A91,A101,A111,A124,A135,A143,A152,A161,A172,A181,A192,A201,__label__2,__label__2 A11 A25 A32 A45 A59 A61 A72 A81 A91 A101 A111 A124 A135 A143 A152 A161 A172 A181 A192 A201
275,A14,A20,A32,A43,A55,A61,A73,A81,A93,A101,A112,A121,A134,A143,A152,A161,A173,A182,A191,A201,__label__1,__label__1 A14 A20 A32 A43 A55 A61 A73 A81 A93 A101 A112 A121 A134 A143 A152 A161 A173 A182 A191 A201
276,A14,A23,A34,A43,A55,A61,A73,A82,A92,A101,A112,A123,A131,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A14 A23 A34 A43 A55 A61 A73 A82 A92 A101 A112 A123 A131 A143 A152 A162 A173 A181 A191 A201
277,A11,A21,A32,A42,A51,A65,A75,A82,A91,A101,A114,A122,A138,A143,A152,A161,A172,A181,A192,A201,__label__1,__label__1 A11 A21 A32 A42 A51 A65 A75 A82 A91 A101 A114 A122 A138 A143 A152 A161 A172 A181 A192 A201
278,A14,A20,A32,A42,A57,A61,A72,A81,A92,A101,A114,A122,A134,A143,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A14 A20 A32 A42 A57 A61 A72 A81 A92 A101 A114 A122 A134 A143 A152 A161 A173 A181 A191 A201
279,A14,A24,A32,A43,A53,A62,A73,A84,A93,A101,A114,A123,A133,A143,A151,A161,A174,A181,A192,A201,__label__1,__label__1 A14 A24 A32 A43 A53 A62 A73 A84 A93 A101 A114 A123 A133 A143 A151 A161 A174 A181 A192 A201
280,A14,A22,A34,A41,A56,A64,A75,A83,A93,A101,A114,A124,A130,A143,A151,A162,A173,A181,A192,A201,__label__1,__label__1 A14 A22 A34 A41 A56 A64 A75 A83 A93 A101 A114 A124 A130 A143 A151 A162 A173 A181 A192 A201
281,A14,A21,A32,A42,A53,A61,A73,A84,A93,A101,A112,A121,A138,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A32 A42 A53 A61 A73 A84 A93 A101 A112 A121 A138 A143 A152 A161 A173 A181 A191 A201
282,A13,A23,A31,A43,A52,A65,A74,A84,A93,A101,A114,A123,A138,A141,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A13 A23 A31 A43 A52 A65 A74 A84 A93 A101 A114 A123 A138 A141 A152 A161 A172 A181 A191 A201
283,A14,A22,A34,A42,A53,A65,A75,A84,A93,A101,A114,A122,A139,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A22 A34 A42 A53 A65 A75 A84 A93 A101 A114 A122 A139 A143 A152 A161 A173 A181 A191 A201
284,A12,A24,A34,A40,A57,A62,A72,A84,A91,A101,A112,A123,A136,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A12 A24 A34 A40 A57 A62 A72 A84 A91 A101 A112 A123 A136 A143 A152 A161 A173 A181 A192 A201
285,A11,A27,A32,A40,A59,A61,A72,A81,A92,A101,A111,A121,A135,A143,A152,A161,A172,A181,A192,A201,__label__1,__label__1 A11 A27 A32 A40 A59 A61 A72 A81 A92 A101 A111 A121 A135 A143 A152 A161 A172 A181 A192 A201
286,A11,A27,A32,A41,A58,A61,A74,A84,A93,A101,A113,A122,A131,A143,A152,A161,A173,A182,A191,A201,__label__1,__label__1 A11 A27 A32 A41 A58 A61 A74 A84 A93 A101 A113 A122 A131 A143 A152 A161 A173 A182 A191 A201
287,A12,A27,A33,A410,A59,A62,A71,A82,A93,A101,A114,A124,A134,A143,A153,A161,A174,A181,A192,A201,__label__1,__label__1 A12 A27 A33 A410 A59 A62 A71 A82 A93 A101 A114 A124 A134 A143 A153 A161 A174 A181 A192 A201
288,A12,A21,A32,A43,A51,A61,A73,A84,A92,A103,A114,A121,A138,A143,A152,A162,A173,A181,A192,A201,__label__1,__label__1 A12 A21 A32 A43 A51 A61 A73 A84 A92 A103 A114 A121 A138 A143 A152 A162 A173 A181 A192 A201
289,A11,A24,A33,A43,A51,A61,A72,A84,A94,A101,A114,A121,A138,A142,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A24 A33 A43 A51 A61 A72 A84 A94 A101 A114 A121 A138 A142 A152 A161 A173 A181 A191 A201
290,A14,A21,A32,A49,A51,A61,A73,A82,A94,A101,A112,A121,A131,A143,A152,A161,A173,A181,A192,A202,__label__1,__label__1 A14 A21 A32 A49 A51 A61 A73 A82 A94 A101 A112 A121 A131 A143 A152 A161 A173 A181 A192 A202
291,A12,A26,A32,A41,A59,A61,A72,A81,A94,A101,A114,A123,A132,A143,A151,A161,A174,A181,A192,A201,__label__2,__label__2 A12 A26 A32 A41 A59 A61 A72 A81 A94 A101 A114 A123 A132 A143 A151 A161 A174 A181 A192 A201
292,A11,A24,A34,A41,A58,A61,A75,A82,A92,A101,A114,A124,A137,A143,A153,A162,A174,A182,A192,A201,__label__1,__label__1 A11 A24 A34 A41 A58 A61 A75 A82 A92 A101 A114 A124 A137 A143 A153 A162 A174 A182 A192 A201
293,A13,A27,A34,A41,A58,A61,A75,A84,A93,A101,A114,A124,A139,A143,A153,A161,A173,A181,A191,A201,__label__1,__label__1 A13 A27 A34 A41 A58 A61 A75 A84 A93 A101 A114 A124 A139 A143 A153 A161 A173 A181 A191 A201
294,A14,A27,A34,A49,A59,A65,A75,A84,A91,A101,A112,A123,A138,A141,A152,A162,A174,A182,A191,A201,__label__1,__label__1 A14 A27 A34 A49 A59 A65 A75 A84 A91 A101 A112 A123 A138 A141 A152 A162 A174 A182 A191 A201
295,A12,A27,A32,A42,A59,A61,A72,A81,A92,A101,A112,A123,A131,A143,A152,A161,A173,A181,A192,A201,__label__2,__label__2 A12 A27 A32 A42 A59 A61 A72 A81 A92 A101 A112 A123 A131 A143 A152 A161 A173 A181 A192 A201
296,A14,A21,A32,A41,A57,A65,A72,A81,A92,A101,A114,A123,A130,A143,A151,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A32 A41 A57 A65 A72 A81 A92 A101 A114 A123 A130 A143 A151 A161 A173 A181 A191 A201
297,A14,A21,A32,A40,A52,A65,A75,A84,A93,A102,A112,A122,A137,A143,A152,A161,A172,A181,A191,A202,__label__1,__label__1 A14 A21 A32 A40 A52 A65 A75 A84 A93 A102 A112 A122 A137 A143 A152 A161 A172 A181 A191 A202
298,A14,A23,A32,A42,A55,A61,A73,A83,A93,A101,A114,A121,A137,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A23 A32 A42 A55 A61 A73 A83 A93 A101 A114 A121 A137 A143 A152 A161 A173 A181 A192 A201
299,A12,A24,A34,A42,A55,A64,A74,A83,A93,A101,A112,A123,A134,A143,A152,A162,A173,A181,A192,A201,__label__1,__label__1 A12 A24 A34 A42 A55 A64 A74 A83 A93 A101 A112 A123 A134 A143 A152 A162 A173 A181 A192 A201
300,A14,A20,A32,A40,A50,A61,A71,A81,A92,A101,A114,A121,A139,A143,A152,A161,A171,A181,A192,A201,__label__1,__label__1 A14 A20 A32 A40 A50 A61 A71 A81 A92 A101 A114 A121 A139 A143 A152 A161 A171 A181 A192 A201
301,A12,A26,A30,A43,A57,A61,A73,A84,A92,A101,A111,A123,A137,A143,A152,A161,A173,A181,A192,A201,__label__2,__label__2 A12 A26 A30 A43 A57 A61 A73 A84 A92 A101 A111 A123 A137 A143 A152 A161 A173 A181 A192 A201
302,A13,A24,A34,A40,A52,A65,A74,A84,A93,A101,A112,A121,A136,A141,A152,A162,A172,A182,A191,A201,__label__2,__label__2 A13 A24 A34 A40 A52 A65 A74 A84 A93 A101 A112 A121 A136 A141 A152 A162 A172 A182 A191 A201
303,A11,A21,A34,A40,A51,A61,A74,A84,A93,A102,A113,A122,A138,A143,A152,A162,A173,A181,A192,A201,__label__1,__label__1 A11 A21 A34 A40 A51 A61 A74 A84 A93 A102 A113 A122 A138 A143 A152 A162 A173 A181 A192 A201
304,A14,A27,A34,A40,A59,A63,A73,A82,A93,A101,A112,A124,A137,A141,A153,A161,A173,A181,A191,A201,__label__2,__label__2 A14 A27 A34 A40 A59 A63 A73 A82 A93 A101 A112 A124 A137 A141 A153 A161 A173 A181 A191 A201
305,A14,A20,A32,A42,A53,A64,A73,A84,A91,A101,A112,A121,A134,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A20 A32 A42 A53 A64 A73 A84 A91 A101 A112 A121 A134 A143 A152 A161 A173 A181 A191 A201
306,A14,A25,A32,A41,A58,A65,A74,A82,A92,A101,A114,A122,A131,A142,A151,A161,A172,A181,A191,A201,__label__1,__label__1 A14 A25 A32 A41 A58 A65 A74 A82 A92 A101 A114 A122 A131 A142 A151 A161 A172 A181 A191 A201
307,A11,A21,A32,A43,A50,A62,A72,A84,A94,A101,A113,A124,A134,A143,A152,A161,A172,A181,A192,A201,__label__2,__label__2 A11 A21 A32 A43 A50 A62 A72 A84 A94 A101 A113 A124 A134 A143 A152 A161 A172 A181 A192 A201
308,A12,A20,A32,A42,A51,A61,A73,A83,A92,A101,A114,A121,A131,A143,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A12 A20 A32 A42 A51 A61 A73 A83 A92 A101 A114 A121 A131 A143 A152 A161 A173 A181 A191 A201
309,A12,A20,A32,A40,A50,A61,A73,A84,A94,A101,A114,A121,A130,A143,A151,A161,A172,A181,A191,A201,__label__1,__label__1 A12 A20 A32 A40 A50 A61 A73 A84 A94 A101 A114 A121 A130 A143 A151 A161 A172 A181 A191 A201
310,A12,A27,A32,A410,A58,A65,A71,A83,A93,A101,A114,A124,A137,A141,A153,A161,A171,A181,A192,A201,__label__1,__label__1 A12 A27 A32 A410 A58 A65 A71 A83 A93 A101 A114 A124 A137 A141 A153 A161 A171 A181 A192 A201
311,A14,A24,A32,A42,A58,A62,A73,A84,A93,A101,A111,A123,A131,A142,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A24 A32 A42 A58 A62 A73 A84 A93 A101 A111 A123 A131 A142 A152 A161 A173 A181 A191 A201
312,A13,A24,A32,A42,A57,A61,A72,A82,A92,A101,A114,A123,A131,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A13 A24 A32 A42 A57 A61 A72 A82 A92 A101 A114 A123 A131 A143 A152 A161 A173 A181 A191 A201
313,A12,A21,A32,A40,A50,A61,A74,A82,A94,A101,A113,A123,A131,A141,A152,A161,A172,A181,A191,A201,__label__2,__label__2 A12 A21 A32 A40 A50 A61 A74 A82 A94 A101 A113 A123 A131 A141 A152 A161 A172 A181 A191 A201
314,A13,A20,A32,A40,A53,A65,A72,A81,A93,A101,A112,A121,A133,A143,A152,A161,A172,A182,A191,A202,__label__1,__label__1 A13 A20 A32 A40 A53 A65 A72 A81 A93 A101 A112 A121 A133 A143 A152 A161 A172 A182 A191 A202
315,A11,A26,A31,A42,A55,A61,A75,A84,A93,A101,A114,A123,A134,A141,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A26 A31 A42 A55 A61 A75 A84 A93 A101 A114 A123 A134 A141 A152 A161 A173 A181 A191 A201
316,A11,A21,A32,A42,A50,A61,A73,A82,A93,A103,A113,A122,A136,A143,A152,A161,A172,A182,A191,A201,__label__1,__label__1 A11 A21 A32 A42 A50 A61 A73 A82 A93 A103 A113 A122 A136 A143 A152 A161 A172 A182 A191 A201
317,A12,A24,A32,A42,A57,A65,A73,A81,A92,A101,A114,A122,A138,A143,A152,A161,A172,A181,A192,A201,__label__1,__label__1 A12 A24 A32 A42 A57 A65 A73 A81 A92 A101 A114 A122 A138 A143 A152 A161 A172 A181 A192 A201
318,A14,A21,A34,A46,A50,A61,A73,A84,A93,A101,A112,A123,A134,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A46 A50 A61 A73 A84 A93 A101 A112 A123 A134 A143 A152 A162 A173 A181 A191 A201
319,A11,A22,A33,A42,A57,A61,A75,A81,A92,A101,A114,A122,A132,A143,A152,A162,A172,A181,A191,A201,__label__1,__label__1 A11 A22 A33 A42 A57 A61 A75 A81 A92 A101 A114 A122 A132 A143 A152 A162 A172 A181 A191 A201
320,A12,A25,A34,A40,A57,A61,A71,A84,A94,A101,A112,A123,A132,A143,A152,A162,A174,A181,A191,A201,__label__2,__label__2 A12 A25 A34 A40 A57 A61 A71 A84 A94 A101 A112 A123 A132 A143 A152 A162 A174 A181 A191 A201
321,A11,A24,A32,A43,A54,A61,A72,A84,A91,A101,A113,A122,A134,A143,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A24 A32 A43 A54 A61 A72 A84 A91 A101 A113 A122 A134 A143 A152 A161 A173 A181 A191 A201
322,A11,A24,A32,A41,A56,A61,A74,A82,A93,A101,A111,A124,A135,A143,A153,A161,A174,A181,A192,A201,__label__1,__label__1 A11 A24 A32 A41 A56 A61 A74 A82 A93 A101 A111 A124 A135 A143 A153 A161 A174 A181 A192 A201
323,A11,A23,A32,A42,A55,A64,A73,A84,A93,A101,A112,A123,A132,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A11 A23 A32 A42 A55 A64 A73 A84 A93 A101 A112 A123 A132 A143 A152 A161 A173 A181 A191 A201
324,A14,A23,A34,A40,A51,A61,A73,A84,A92,A101,A113,A121,A135,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A14 A23 A34 A40 A51 A61 A73 A84 A92 A101 A113 A121 A135 A143 A152 A162 A173 A181 A191 A201
325,A11,A20,A34,A40,A56,A61,A74,A81,A93,A101,A114,A121,A136,A143,A152,A162,A172,A181,A191,A202,__label__1,__label__1 A11 A20 A34 A40 A56 A61 A74 A81 A93 A101 A114 A121 A136 A143 A152 A162 A172 A181 A191 A202
326,A14,A21,A34,A42,A58,A65,A75,A82,A93,A101,A114,A122,A138,A143,A151,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A21 A34 A42 A58 A65 A75 A82 A93 A101 A114 A122 A138 A143 A151 A161 A173 A181 A192 A201
327,A14,A24,A32,A40,A53,A64,A74,A84,A92,A101,A113,A123,A135,A143,A152,A161,A173,A182,A192,A201,__label__1,__label__1 A14 A24 A32 A40 A53 A64 A74 A84 A92 A101 A113 A123 A135 A143 A152 A161 A173 A182 A192 A201
328,A13,A26,A32,A43,A57,A61,A75,A84,A93,A101,A112,A123,A134,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A13 A26 A32 A43 A57 A61 A75 A84 A93 A101 A112 A123 A134 A143 A152 A161 A173 A181 A191 A201
329,A12,A20,A32,A43,A51,A61,A75,A84,A93,A101,A114,A123,A132,A143,A152,A161,A173,A182,A191,A201,__label__1,__label__1 A12 A20 A32 A43 A51 A61 A75 A84 A93 A101 A114 A123 A132 A143 A152 A161 A173 A182 A191 A201
330,A11,A24,A34,A41,A58,A61,A71,A82,A93,A101,A114,A124,A139,A143,A153,A162,A174,A181,A192,A201,__label__1,__label__1 A11 A24 A34 A41 A58 A61 A71 A82 A93 A101 A114 A124 A139 A143 A153 A162 A174 A181 A192 A201
331,A14,A23,A34,A46,A53,A62,A73,A84,A92,A101,A112,A121,A133,A143,A152,A162,A173,A181,A191,A201,__label__2,__label__2 A14 A23 A34 A46 A53 A62 A73 A84 A92 A101 A112 A121 A133 A143 A152 A162 A173 A181 A191 A201
332,A12,A27,A32,A40,A59,A62,A72,A84,A92,A101,A112,A122,A131,A143,A152,A161,A174,A181,A191,A201,__label__2,__label__2 A12 A27 A32 A40 A59 A62 A72 A84 A92 A101 A112 A122 A131 A143 A152 A161 A174 A181 A191 A201
333,A14,A27,A34,A41,A59,A62,A73,A82,A92,A101,A114,A123,A131,A141,A151,A162,A172,A181,A191,A201,__label__2,__label__2 A14 A27 A34 A41 A59 A62 A73 A82 A92 A101 A114 A123 A131 A141 A151 A162 A172 A181 A191 A201
334,A11,A24,A30,A42,A57,A61,A75,A83,A93,A101,A114,A124,A130,A141,A151,A162,A173,A182,A191,A201,__label__2,__label__2 A11 A24 A30 A42 A57 A61 A75 A83 A93 A101 A114 A124 A130 A141 A151 A162 A173 A182 A191 A201
335,A11,A20,A34,A42,A56,A61,A73,A81,A91,A101,A114,A121,A137,A143,A151,A161,A174,A181,A192,A201,__label__2,__label__2 A11 A20 A34 A42 A56 A61 A73 A81 A91 A101 A114 A121 A137 A143 A151 A161 A174 A181 A192 A201
336,A12,A22,A32,A43,A54,A61,A72,A82,A92,A103,A114,A122,A130,A143,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A12 A22 A32 A43 A54 A61 A72 A82 A92 A103 A114 A122 A130 A143 A152 A161 A172 A181 A191 A201
337,A11,A22,A32,A44,A52,A65,A73,A84,A92,A101,A112,A123,A131,A143,A151,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A22 A32 A44 A52 A65 A73 A84 A92 A101 A112 A123 A131 A143 A151 A161 A173 A181 A191 A201
338,A11,A24,A32,A42,A57,A61,A73,A84,A93,A101,A114,A122,A132,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A11 A24 A32 A42 A57 A61 A73 A84 A93 A101 A114 A122 A132 A143 A152 A161 A173 A181 A191 A201
339,A12,A21,A32,A42,A53,A61,A73,A84,A91,A101,A112,A123,A134,A143,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A12 A21 A32 A42 A53 A61 A73 A84 A91 A101 A112 A123 A134 A143 A152 A161 A172 A181 A191 A201
340,A12,A24,A34,A46,A58,A61,A72,A82,A92,A101,A114,A124,A131,A143,A153,A162,A173,A181,A192,A201,__label__1,__label__1 A12 A24 A34 A46 A58 A61 A72 A82 A92 A101 A114 A124 A131 A143 A153 A162 A173 A181 A192 A201
341,A11,A24,A32,A42,A57,A61,A74,A81,A92,A101,A114,A123,A131,A143,A151,A161,A172,A181,A191,A201,__label__1,__label__1 A11 A24 A32 A42 A57 A61 A74 A81 A92 A101 A114 A123 A131 A143 A151 A161 A172 A181 A191 A201
342,A12,A23,A32,A43,A56,A63,A72,A81,A94,A101,A113,A121,A131,A143,A151,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A23 A32 A43 A56 A63 A72 A81 A94 A101 A113 A121 A131 A143 A151 A161 A173 A181 A191 A201
343,A12,A23,A32,A49,A57,A61,A75,A81,A93,A102,A111,A121,A134,A141,A152,A161,A174,A181,A192,A201,__label__1,__label__1 A12 A23 A32 A49 A57 A61 A75 A81 A93 A102 A111 A121 A134 A141 A152 A161 A174 A181 A192 A201
344,A13,A21,A32,A40,A57,A61,A72,A81,A93,A103,A111,A122,A136,A143,A152,A161,A172,A182,A191,A201,__label__1,__label__1 A13 A21 A32 A40 A57 A61 A72 A81 A93 A103 A111 A122 A136 A143 A152 A161 A172 A182 A191 A201
345,A14,A22,A34,A43,A52,A61,A73,A84,A92,A101,A112,A123,A137,A143,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A14 A22 A34 A43 A52 A61 A73 A84 A92 A101 A112 A123 A137 A143 A152 A161 A172 A181 A191 A201
346,A12,A22,A34,A43,A50,A61,A72,A84,A93,A103,A114,A121,A130,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A12 A22 A34 A43 A50 A61 A72 A84 A93 A103 A114 A121 A130 A143 A152 A162 A173 A181 A191 A201
347,A12,A24,A32,A43,A57,A63,A71,A81,A92,A101,A114,A124,A130,A143,A151,A161,A171,A181,A191,A201,__label__1,__label__1 A12 A24 A32 A43 A57 A63 A71 A81 A92 A101 A114 A124 A130 A143 A151 A161 A171 A181 A191 A201
348,A14,A20,A33,A49,A53,A62,A73,A81,A93,A101,A112,A121,A135,A143,A152,A162,A172,A181,A191,A201,__label__1,__label__1 A14 A20 A33 A49 A53 A62 A73 A81 A93 A101 A112 A121 A135 A143 A152 A162 A172 A181 A191 A201
349,A12,A20,A34,A46,A51,A64,A75,A84,A93,A101,A113,A124,A134,A143,A153,A162,A173,A182,A191,A201,__label__2,__label__2 A12 A20 A34 A46 A51 A64 A75 A84 A93 A101 A113 A124 A134 A143 A153 A162 A173 A182 A191 A201
350,A14,A20,A32,A44,A51,A61,A72,A81,A92,A101,A114,A121,A130,A143,A151,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A20 A32 A44 A51 A61 A72 A81 A92 A101 A114 A121 A130 A143 A151 A161 A173 A181 A192 A201
351,A12,A20,A32,A42,A51,A61,A73,A81,A92,A101,A112,A123,A133,A143,A152,A161,A173,A181,A191,A202,__label__2,__label__2 A12 A20 A32 A42 A51 A61 A73 A81 A92 A101 A112 A123 A133 A143 A152 A161 A173 A181 A191 A202
352,A14,A23,A34,A41,A56,A65,A71,A82,A93,A101,A114,A124,A136,A143,A152,A161,A174,A181,A192,A201,__label__1,__label__1 A14 A23 A34 A41 A56 A65 A71 A82 A93 A101 A114 A124 A136 A143 A152 A161 A174 A181 A192 A201
353,A11,A21,A30,A43,A58,A61,A73,A84,A93,A101,A112,A122,A132,A143,A151,A162,A173,A181,A192,A201,__label__2,__label__2 A11 A21 A30 A43 A58 A61 A73 A84 A93 A101 A112 A122 A132 A143 A151 A162 A173 A181 A192 A201
354,A14,A21,A32,A46,A50,A63,A75,A84,A93,A101,A114,A124,A138,A143,A153,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A21 A32 A46 A50 A63 A75 A84 A93 A101 A114 A124 A138 A143 A153 A161 A173 A181 A192 A201
355,A12,A24,A32,A40,A51,A61,A72,A84,A93,A101,A112,A121,A130,A142,A152,A161,A172,A181,A191,A201,__label__2,__label__2 A12 A24 A32 A40 A51 A61 A72 A84 A93 A101 A112 A121 A130 A142 A152 A161 A172 A181 A191 A201
356,A14,A21,A34,A43,A55,A65,A75,A81,A93,A102,A114,A121,A138,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A21 A34 A43 A55 A65 A75 A81 A93 A102 A114 A121 A138 A143 A152 A161 A173 A181 A192 A201
357,A14,A26,A33,A43,A57,A61,A73,A84,A93,A101,A112,A123,A131,A143,A152,A162,A174,A181,A192,A201,__label__2,__label__2 A14 A26 A33 A43 A57 A61 A73 A84 A93 A101 A112 A123 A131 A143 A152 A162 A174 A181 A192 A201
358,A14,A21,A32,A43,A50,A61,A73,A84,A94,A101,A112,A121,A132,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A32 A43 A50 A61 A73 A84 A94 A101 A112 A121 A132 A143 A152 A161 A173 A181 A191 A201
359,A11,A25,A32,A42,A55,A61,A74,A84,A92,A101,A114,A121,A130,A143,A151,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A25 A32 A42 A55 A61 A74 A84 A92 A101 A114 A121 A130 A143 A151 A161 A173 A181 A191 A201
360,A12,A23,A32,A46,A51,A65,A73,A84,A93,A101,A114,A124,A139,A143,A153,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A23 A32 A46 A51 A65 A73 A84 A93 A101 A114 A124 A139 A143 A153 A161 A173 A181 A191 A201
361,A13,A21,A32,A43,A56,A65,A75,A82,A93,A101,A113,A123,A136,A143,A152,A161,A174,A181,A191,A201,__label__1,__label__1 A13 A21 A32 A43 A56 A65 A75 A82 A93 A101 A113 A123 A136 A143 A152 A161 A174 A181 A191 A201
